Web Search interest: doser
Denmark Jan 2011 - Feb 2016

Interest over time
Month,doser
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,100
2011-11,100
2011-12,99
2012-01,99
2012-02,99
2012-03,94
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,76
2012-10,68
2012-11,71
2012-12,75
2013-01,80
2013-02,85
2013-03,68
2013-04,68
2013-05,68
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,66
2014-05,69
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,69
2015-02,67
2015-03,59
2015-04,59
2015-05,55
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,62
2015-12,61
2016-01,61
2016-02,62


Top subregions for doser
Subregion,doser
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for doser
City,doser
Copenhagen,100



Top searches for doser
i doser,100






