Web Search interest: gives
Denmark Jan 2011 - Feb 2016

Interest over time
Week,gives
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,38
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,43
2011-01-30 - 2011-02-05,31
2011-02-06 - 2011-02-12,35
2011-02-13 - 2011-02-19,54
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,39
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,40
2011-04-10 - 2011-04-16,36
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,46
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,48
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,47
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,42
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,58
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,48
2011-07-31 - 2011-08-06,53
2011-08-07 - 2011-08-13,44
2011-08-14 - 2011-08-20,36
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,45
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,32
2011-09-25 - 2011-10-01,39
2011-10-02 - 2011-10-08,33
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,43
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,40
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,35
2011-12-11 - 2011-12-17,39
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,33
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,45
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,44
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,42
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,44
