Web Search interest: tilfælde
Denmark Jan 2011 - Feb 2016

Interest over time
Month,tilfælde
2011-01,80
2011-02,69
2011-03,80
2011-04,90
2011-05,73
2011-06,61
2011-07,91
2011-08,81
2011-09,72
2011-10,67
2011-11,70
2011-12,79
2012-01,80
2012-02,73
2012-03,76
2012-04,60
2012-05,97
2012-06,80
2012-07,54
2012-08,63
2012-09,70
2012-10,65
2012-11,81
2012-12,90
2013-01,71
2013-02,73
2013-03,55
2013-04,77
2013-05,74
2013-06,70
2013-07,43
2013-08,72
2013-09,71
2013-10,79
2013-11,98
2013-12,71
2014-01,74
2014-02,59
2014-03,88
2014-04,69
2014-05,83
2014-06,63
2014-07,43
2014-08,64
2014-09,82
2014-10,100
2014-11,94
2014-12,80
2015-01,72
2015-02,79
2015-03,67
2015-04,84
2015-05,73
2015-06,76
2015-07,54
2015-08,60
2015-09,57
2015-10,82
2015-11,66
2015-12,88
2016-01,80
2016-02,85


Top subregions for tilfælde
Subregion,tilfælde
North Denmark Region,100
Syddanmark,92
Capital Region of Denmark,92
Central Denmark Region,88
Region Zealand,82


Top cities for tilfælde
City,tilfælde
Aalborg,100
Odense,99
Copenhagen,74



Top searches for tilfælde
i tilfælde af,100
i hvert tilfælde,25



Rising searches for tilfælde
i tilfælde af,+40%



