Web Search interest: år
Denmark Jan 2011 - Feb 2016

Interest over time
Week,år
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,63
2011-01-23 - 2011-01-29,62
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,61
2011-02-13 - 2011-02-19,56
2011-02-20 - 2011-02-26,59
2011-02-27 - 2011-03-05,58
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,55
2011-03-20 - 2011-03-26,57
2011-03-27 - 2011-04-02,58
2011-04-03 - 2011-04-09,55
2011-04-10 - 2011-04-16,56
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,54
2011-05-01 - 2011-05-07,62
2011-05-08 - 2011-05-14,61
2011-05-15 - 2011-05-21,54
2011-05-22 - 2011-05-28,54
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,55
2011-06-12 - 2011-06-18,58
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,51
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,58
2011-08-14 - 2011-08-20,64
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,59
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,66
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,59
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,57
2011-10-30 - 2011-11-05,63
2011-11-06 - 2011-11-12,65
2011-11-13 - 2011-11-19,68
2011-11-20 - 2011-11-26,64
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,70
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,61
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,70
2012-01-08 - 2012-01-14,71
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,60
2012-01-29 - 2012-02-04,63
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,62
2012-03-25 - 2012-03-31,61
2012-04-01 - 2012-04-07,53
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,55
2012-05-06 - 2012-05-12,58
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,58
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,59
2012-06-10 - 2012-06-16,60
2012-06-17 - 2012-06-23,58
2012-06-24 - 2012-06-30,55
2012-07-01 - 2012-07-07,54
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,58
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,56
2012-08-12 - 2012-08-18,62
2012-08-19 - 2012-08-25,65
2012-08-26 - 2012-09-01,64
2012-09-02 - 2012-09-08,59
2012-09-09 - 2012-09-15,62
2012-09-16 - 2012-09-22,61
2012-09-23 - 2012-09-29,63
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,59
2012-10-14 - 2012-10-20,57
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,64
2012-11-11 - 2012-11-17,67
2012-11-18 - 2012-11-24,68
2012-11-25 - 2012-12-01,68
2012-12-02 - 2012-12-08,77
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,73
2012-12-23 - 2012-12-29,59
2012-12-30 - 2013-01-05,78
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,69
2013-01-27 - 2013-02-02,67
2013-02-03 - 2013-02-09,64
2013-02-10 - 2013-02-16,61
2013-02-17 - 2013-02-23,64
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,66
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,62
2013-03-24 - 2013-03-30,57
2013-03-31 - 2013-04-06,62
