Web Search interest: langvarig
Denmark Jan 2011 - Feb 2016

Interest over time
Month,langvarig
2011-01,0
2011-02,0
2011-03,0
2011-04,91
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,77
2011-11,89
2011-12,100
2012-01,70
2012-02,70
2012-03,76
2012-04,81
2012-05,70
2012-06,72
2012-07,74
2012-08,75
2012-09,63
2012-10,66
2012-11,73
2012-12,67
2013-01,60
2013-02,80
2013-03,84
2013-04,68
2013-05,74
2013-06,74
2013-07,67
2013-08,67
2013-09,66
2013-10,59
2013-11,74
2013-12,75
2014-01,91
2014-02,75
2014-03,70
2014-04,63
2014-05,73
2014-06,66
2014-07,76
2014-08,58
2014-09,74
2014-10,80
2014-11,87
2014-12,96
2015-01,97
2015-02,75
2015-03,98
2015-04,87
2015-05,69
2015-06,74
2015-07,93
2015-08,69
2015-09,85
2015-10,82
2015-11,93
2015-12,86
2016-01,91
2016-02,91


Top subregions for langvarig
Subregion,langvarig
Capital Region of Denmark,100
Central Denmark Region,96
Syddanmark,95
North Denmark Region,0
Region Zealand,0


Top cities for langvarig
City,langvarig
Copenhagen,100



Top searches for langvarig
langvarig hoste,100
langvarig stress,50






