Web Search interest: kønsvorter
Denmark Jan 2011 - Feb 2016

Interest over time
Week,kønsvorter
2011-01-02 - 2011-01-08,56
2011-01-09 - 2011-01-15,77
2011-01-16 - 2011-01-22,49
2011-01-23 - 2011-01-29,61
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,60
2011-04-03 - 2011-04-09,50
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,100
2011-04-24 - 2011-04-30,67
2011-05-01 - 2011-05-07,51
2011-05-08 - 2011-05-14,74
2011-05-15 - 2011-05-21,60
2011-05-22 - 2011-05-28,49
2011-05-29 - 2011-06-04,59
2011-06-05 - 2011-06-11,70
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,53
2011-06-26 - 2011-07-02,52
2011-07-03 - 2011-07-09,77
2011-07-10 - 2011-07-16,66
2011-07-17 - 2011-07-23,66
2011-07-24 - 2011-07-30,68
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,52
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,55
2011-09-11 - 2011-09-17,50
2011-09-18 - 2011-09-24,45
2011-09-25 - 2011-10-01,45
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,71
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,57
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,53
2011-12-11 - 2011-12-17,68
2011-12-18 - 2011-12-24,70
2011-12-25 - 2011-12-31,72
2012-01-01 - 2012-01-07,44
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,46
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,47
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,45
2012-05-27 - 2012-06-02,74
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,57
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,62
2012-07-08 - 2012-07-14,57
2012-07-15 - 2012-07-21,58
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,44
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,52
2012-08-26 - 2012-09-01,47
2012-09-02 - 2012-09-08,66
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,52
2012-10-14 - 2012-10-20,47
2012-10-21 - 2012-10-27,56
2012-10-28 - 2012-11-03,50
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,45
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,46
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,36
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,70
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,50
2013-01-27 - 2013-02-02,53
2013-02-03 - 2013-02-09,66
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,56
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,46
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,55
