Month,indført
2011-01,78
2011-02,42
2011-03,42
2011-04,54
2011-05,56
2011-06,39
2011-07,39
2011-08,46
2011-09,75
2011-10,68
2011-11,54
2011-12,57
2012-01,57
2012-02,45
2012-03,64
2012-04,44
2012-05,66
2012-06,53
2012-07,32
2012-08,36
2012-09,45
2012-10,47
2012-11,51
2012-12,52
2013-01,55
2013-02,100
2013-03,58
2013-04,49
2013-05,51
2013-06,48
2013-07,30
2013-08,42
2013-09,58
2013-10,55
2013-11,53
2013-12,55
2014-01,52
2014-02,50
2014-03,72
2014-04,60
2014-05,61
2014-06,59
2014-07,39
2014-08,38
2014-09,62
2014-10,84
2014-11,71
2014-12,65
2015-01,59
2015-02,61
2015-03,75
2015-04,52
2015-05,51
2015-06,53
2015-07,41
2015-08,38
2015-09,70
2015-10,73
2015-11,56
2015-12,60
2016-01,69
2016-02,67
