Month,tilbuddet
2011-01,76
2011-02,63
2011-03,62
2011-04,77
2011-05,79
2011-06,83
2011-07,64
2011-08,74
2011-09,83
2011-10,60
2011-11,80
2011-12,70
2012-01,80
2012-02,85
2012-03,80
2012-04,73
2012-05,58
2012-06,100
2012-07,61
2012-08,72
2012-09,78
2012-10,86
2012-11,100
2012-12,48
2013-01,57
2013-02,72
2013-03,75
2013-04,73
2013-05,53
2013-06,69
2013-07,61
2013-08,73
2013-09,73
2013-10,74
2013-11,72
2013-12,49
2014-01,80
2014-02,71
2014-03,60
2014-04,53
2014-05,64
2014-06,55
2014-07,55
2014-08,66
2014-09,67
2014-10,71
2014-11,75
2014-12,65
2015-01,60
2015-02,57
2015-03,79
2015-04,62
2015-05,61
2015-06,70
2015-07,53
2015-08,64
2015-09,67
2015-10,72
2015-11,66
2015-12,51
2016-01,60
2016-02,77
