Week,skyldes
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,100
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,0
2011-08-14 - 2011-08-20,0
2011-08-21 - 2011-08-27,0
2011-08-28 - 2011-09-03,0
2011-09-04 - 2011-09-10,0
2011-09-11 - 2011-09-17,0
2011-09-18 - 2011-09-24,0
2011-09-25 - 2011-10-01,0
2011-10-02 - 2011-10-08,0
2011-10-09 - 2011-10-15,0
2011-10-16 - 2011-10-22,0
2011-10-23 - 2011-10-29,0
2011-10-30 - 2011-11-05,0
2011-11-06 - 2011-11-12,0
2011-11-13 - 2011-11-19,0
2011-11-20 - 2011-11-26,0
2011-11-27 - 2011-12-03,0
2011-12-04 - 2011-12-10,78
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,62
2011-12-25 - 2011-12-31,62
2012-01-01 - 2012-01-07,62
2012-01-08 - 2012-01-14,62
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,63
2012-01-29 - 2012-02-04,67
2012-02-05 - 2012-02-11,70
2012-02-12 - 2012-02-18,67
2012-02-19 - 2012-02-25,67
2012-02-26 - 2012-03-03,69
2012-03-04 - 2012-03-10,70
2012-03-11 - 2012-03-17,72
2012-03-18 - 2012-03-24,74
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,64
2012-04-15 - 2012-04-21,64
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,66
2012-05-06 - 2012-05-12,68
2012-05-13 - 2012-05-19,70
2012-05-20 - 2012-05-26,73
2012-05-27 - 2012-06-02,69
2012-06-03 - 2012-06-09,69
2012-06-10 - 2012-06-16,0
2012-06-17 - 2012-06-23,0
2012-06-24 - 2012-06-30,0
2012-07-01 - 2012-07-07,0
2012-07-08 - 2012-07-14,0
2012-07-15 - 2012-07-21,0
2012-07-22 - 2012-07-28,0
2012-07-29 - 2012-08-04,0
2012-08-05 - 2012-08-11,0
2012-08-12 - 2012-08-18,0
2012-08-19 - 2012-08-25,0
2012-08-26 - 2012-09-01,0
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,55
2012-09-23 - 2012-09-29,55
2012-09-30 - 2012-10-06,55
2012-10-07 - 2012-10-13,73
2012-10-14 - 2012-10-20,74
2012-10-21 - 2012-10-27,76
2012-10-28 - 2012-11-03,52
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,70
2012-11-18 - 2012-11-24,82
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,53
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,95
2012-12-23 - 2012-12-29,63
2012-12-30 - 2013-01-05,63
2013-01-06 - 2013-01-12,63
2013-01-13 - 2013-01-19,69
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,49
2013-02-03 - 2013-02-09,53
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,49
2013-03-03 - 2013-03-09,70
2013-03-10 - 2013-03-16,79
2013-03-17 - 2013-03-23,48
2013-03-24 - 2013-03-30,58
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,55
2013-04-14 - 2013-04-20,50
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,53
2013-05-05 - 2013-05-11,61
2013-05-12 - 2013-05-18,64
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,69
2013-06-02 - 2013-06-08,60
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,55
2013-06-30 - 2013-07-06,0
2013-07-07 - 2013-07-13,0
2013-07-14 - 2013-07-20,0
2013-07-21 - 2013-07-27,0
2013-07-28 - 2013-08-03,0
2013-08-04 - 2013-08-10,0
2013-08-11 - 2013-08-17,0
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,77
2013-09-01 - 2013-09-07,58
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,51
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,48
2013-10-06 - 2013-10-12,53
2013-10-13 - 2013-10-19,63
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,51
2013-11-17 - 2013-11-23,63
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,48
2013-12-08 - 2013-12-14,59
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,55
2014-01-05 - 2014-01-11,58
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,47
2014-01-26 - 2014-02-01,63
2014-02-02 - 2014-02-08,61
2014-02-09 - 2014-02-15,58
2014-02-16 - 2014-02-22,52
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,45
2014-03-09 - 2014-03-15,59
