Month,vacciner
2011-01,67
2011-02,41
2011-03,41
2011-04,45
2011-05,36
2011-06,48
2011-07,43
2011-08,38
2011-09,39
2011-10,41
2011-11,41
2011-12,40
2012-01,52
2012-02,40
2012-03,45
2012-04,35
2012-05,57
2012-06,44
2012-07,36
2012-08,46
2012-09,45
2012-10,53
2012-11,56
2012-12,52
2013-01,76
2013-02,55
2013-03,46
2013-04,45
2013-05,52
2013-06,51
2013-07,51
2013-08,45
2013-09,56
2013-10,53
2013-11,59
2013-12,45
2014-01,70
2014-02,64
2014-03,59
2014-04,51
2014-05,53
2014-06,69
2014-07,45
2014-08,44
2014-09,68
2014-10,64
2014-11,67
2014-12,64
2015-01,76
2015-02,100
2015-03,78
2015-04,63
2015-05,67
2015-06,70
2015-07,58
2015-08,59
2015-09,68
2015-10,79
2015-11,68
2015-12,73
2016-01,99
2016-02,75
