Month,kondylomer
2011-01,59
2011-02,87
2011-03,87
2011-04,68
2011-05,100
2011-06,73
2011-07,68
2011-08,59
2011-09,55
2011-10,59
2011-11,59
2011-12,54
2012-01,67
2012-02,57
2012-03,60
2012-04,55
2012-05,66
2012-06,55
2012-07,58
2012-08,54
2012-09,72
2012-10,60
2012-11,61
2012-12,60
2013-01,51
2013-02,52
2013-03,61
2013-04,55
2013-05,39
2013-06,54
2013-07,64
2013-08,45
2013-09,50
2013-10,39
2013-11,53
2013-12,43
2014-01,49
2014-02,53
2014-03,50
2014-04,47
2014-05,42
2014-06,53
2014-07,54
2014-08,52
2014-09,38
2014-10,37
2014-11,44
2014-12,44
2015-01,38
2015-02,50
2015-03,48
2015-04,48
2015-05,30
2015-06,39
2015-07,48
2015-08,37
2015-09,47
2015-10,38
2015-11,37
2015-12,40
2016-01,44
2016-02,42
