Week,piger
2011-01-02 - 2011-01-08,91
2011-01-09 - 2011-01-15,84
2011-01-16 - 2011-01-22,89
2011-01-23 - 2011-01-29,82
2011-01-30 - 2011-02-05,92
2011-02-06 - 2011-02-12,89
2011-02-13 - 2011-02-19,83
2011-02-20 - 2011-02-26,77
2011-02-27 - 2011-03-05,75
2011-03-06 - 2011-03-12,80
2011-03-13 - 2011-03-19,84
2011-03-20 - 2011-03-26,85
2011-03-27 - 2011-04-02,85
2011-04-03 - 2011-04-09,92
2011-04-10 - 2011-04-16,94
2011-04-17 - 2011-04-23,94
2011-04-24 - 2011-04-30,98
2011-05-01 - 2011-05-07,88
2011-05-08 - 2011-05-14,98
2011-05-15 - 2011-05-21,84
2011-05-22 - 2011-05-28,89
2011-05-29 - 2011-06-04,84
2011-06-05 - 2011-06-11,88
2011-06-12 - 2011-06-18,94
2011-06-19 - 2011-06-25,88
2011-06-26 - 2011-07-02,83
2011-07-03 - 2011-07-09,84
2011-07-10 - 2011-07-16,85
2011-07-17 - 2011-07-23,87
2011-07-24 - 2011-07-30,94
2011-07-31 - 2011-08-06,98
2011-08-07 - 2011-08-13,90
2011-08-14 - 2011-08-20,93
2011-08-21 - 2011-08-27,81
2011-08-28 - 2011-09-03,82
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,78
2011-09-18 - 2011-09-24,88
2011-09-25 - 2011-10-01,84
2011-10-02 - 2011-10-08,77
2011-10-09 - 2011-10-15,76
2011-10-16 - 2011-10-22,89
2011-10-23 - 2011-10-29,80
2011-10-30 - 2011-11-05,79
2011-11-06 - 2011-11-12,85
2011-11-13 - 2011-11-19,83
2011-11-20 - 2011-11-26,84
2011-11-27 - 2011-12-03,87
2011-12-04 - 2011-12-10,96
2011-12-11 - 2011-12-17,92
2011-12-18 - 2011-12-24,81
2011-12-25 - 2011-12-31,89
2012-01-01 - 2012-01-07,80
2012-01-08 - 2012-01-14,82
2012-01-15 - 2012-01-21,77
2012-01-22 - 2012-01-28,74
2012-01-29 - 2012-02-04,78
2012-02-05 - 2012-02-11,80
2012-02-12 - 2012-02-18,78
2012-02-19 - 2012-02-25,68
2012-02-26 - 2012-03-03,75
2012-03-04 - 2012-03-10,74
2012-03-11 - 2012-03-17,75
2012-03-18 - 2012-03-24,72
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,80
2012-04-08 - 2012-04-14,83
2012-04-15 - 2012-04-21,73
2012-04-22 - 2012-04-28,78
2012-04-29 - 2012-05-05,75
2012-05-06 - 2012-05-12,74
2012-05-13 - 2012-05-19,76
2012-05-20 - 2012-05-26,80
2012-05-27 - 2012-06-02,75
2012-06-03 - 2012-06-09,78
2012-06-10 - 2012-06-16,80
2012-06-17 - 2012-06-23,74
2012-06-24 - 2012-06-30,79
2012-07-01 - 2012-07-07,69
2012-07-08 - 2012-07-14,100
2012-07-15 - 2012-07-21,96
2012-07-22 - 2012-07-28,86
2012-07-29 - 2012-08-04,83
2012-08-05 - 2012-08-11,83
2012-08-12 - 2012-08-18,74
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,73
2012-09-02 - 2012-09-08,75
2012-09-09 - 2012-09-15,73
2012-09-16 - 2012-09-22,72
2012-09-23 - 2012-09-29,70
2012-09-30 - 2012-10-06,76
2012-10-07 - 2012-10-13,71
2012-10-14 - 2012-10-20,72
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,69
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,70
2012-11-18 - 2012-11-24,73
2012-11-25 - 2012-12-01,72
2012-12-02 - 2012-12-08,77
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,70
2012-12-23 - 2012-12-29,73
2012-12-30 - 2013-01-05,74
2013-01-06 - 2013-01-12,66
2013-01-13 - 2013-01-19,66
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,64
2013-02-03 - 2013-02-09,67
2013-02-10 - 2013-02-16,66
2013-02-17 - 2013-02-23,63
2013-02-24 - 2013-03-02,62
2013-03-03 - 2013-03-09,66
2013-03-10 - 2013-03-16,67
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,73
2013-03-31 - 2013-04-06,72
2013-04-07 - 2013-04-13,70
2013-04-14 - 2013-04-20,66
2013-04-21 - 2013-04-27,67
2013-04-28 - 2013-05-04,68
2013-05-05 - 2013-05-11,72
2013-05-12 - 2013-05-18,66
2013-05-19 - 2013-05-25,75
2013-05-26 - 2013-06-01,68
2013-06-02 - 2013-06-08,75
2013-06-09 - 2013-06-15,65
2013-06-16 - 2013-06-22,65
2013-06-23 - 2013-06-29,63
2013-06-30 - 2013-07-06,66
2013-07-07 - 2013-07-13,66
2013-07-14 - 2013-07-20,68
2013-07-21 - 2013-07-27,71
2013-07-28 - 2013-08-03,73
2013-08-04 - 2013-08-10,69
2013-08-11 - 2013-08-17,68
2013-08-18 - 2013-08-24,68
2013-08-25 - 2013-08-31,64
2013-09-01 - 2013-09-07,65
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,64
2013-09-22 - 2013-09-28,67
2013-09-29 - 2013-10-05,70
2013-10-06 - 2013-10-12,66
2013-10-13 - 2013-10-19,65
2013-10-20 - 2013-10-26,66
2013-10-27 - 2013-11-02,68
2013-11-03 - 2013-11-09,66
2013-11-10 - 2013-11-16,69
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,78
2013-12-01 - 2013-12-07,68
2013-12-08 - 2013-12-14,73
2013-12-15 - 2013-12-21,69
2013-12-22 - 2013-12-28,72
2013-12-29 - 2014-01-04,73
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,63
2014-01-19 - 2014-01-25,71
2014-01-26 - 2014-02-01,66
2014-02-02 - 2014-02-08,68
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,71
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,70
2014-03-23 - 2014-03-29,64
2014-03-30 - 2014-04-05,64
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,66
2014-05-04 - 2014-05-10,69
2014-05-11 - 2014-05-17,69
2014-05-18 - 2014-05-24,67
2014-05-25 - 2014-05-31,73
2014-06-01 - 2014-06-07,70
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,72
2014-06-22 - 2014-06-28,69
2014-06-29 - 2014-07-05,64
2014-07-06 - 2014-07-12,67
2014-07-13 - 2014-07-19,73
2014-07-20 - 2014-07-26,75
2014-07-27 - 2014-08-02,78
2014-08-03 - 2014-08-09,73
2014-08-10 - 2014-08-16,71
2014-08-17 - 2014-08-23,71
2014-08-24 - 2014-08-30,74
2014-08-31 - 2014-09-06,70
2014-09-07 - 2014-09-13,69
2014-09-14 - 2014-09-20,67
2014-09-21 - 2014-09-27,71
2014-09-28 - 2014-10-04,68
2014-10-05 - 2014-10-11,68
2014-10-12 - 2014-10-18,70
2014-10-19 - 2014-10-25,68
2014-10-26 - 2014-11-01,65
2014-11-02 - 2014-11-08,69
2014-11-09 - 2014-11-15,64
2014-11-16 - 2014-11-22,77
2014-11-23 - 2014-11-29,68
2014-11-30 - 2014-12-06,71
