Week,human
2011-01-02 - 2011-01-08,68
2011-01-09 - 2011-01-15,56
2011-01-16 - 2011-01-22,61
2011-01-23 - 2011-01-29,60
2011-01-30 - 2011-02-05,57
2011-02-06 - 2011-02-12,59
2011-02-13 - 2011-02-19,59
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,62
2011-03-06 - 2011-03-12,56
2011-03-13 - 2011-03-19,55
2011-03-20 - 2011-03-26,59
2011-03-27 - 2011-04-02,64
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,69
2011-05-01 - 2011-05-07,64
2011-05-08 - 2011-05-14,66
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,60
2011-05-29 - 2011-06-04,56
2011-06-05 - 2011-06-11,93
2011-06-12 - 2011-06-18,66
2011-06-19 - 2011-06-25,54
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,53
2011-07-24 - 2011-07-30,49
2011-07-31 - 2011-08-06,48
2011-08-07 - 2011-08-13,53
2011-08-14 - 2011-08-20,57
2011-08-21 - 2011-08-27,79
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,83
2011-09-11 - 2011-09-17,71
2011-09-18 - 2011-09-24,64
2011-09-25 - 2011-10-01,63
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,62
2011-10-16 - 2011-10-22,69
2011-10-23 - 2011-10-29,65
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,66
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,74
2011-12-04 - 2011-12-10,62
2011-12-11 - 2011-12-17,55
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,43
2012-01-01 - 2012-01-07,54
2012-01-08 - 2012-01-14,59
2012-01-15 - 2012-01-21,55
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,52
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,57
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,57
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,63
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,55
2012-05-27 - 2012-06-02,50
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,53
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,48
2012-07-01 - 2012-07-07,44
2012-07-08 - 2012-07-14,48
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,43
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,61
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,54
2012-09-30 - 2012-10-06,56
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,57
2012-10-28 - 2012-11-03,61
2012-11-04 - 2012-11-10,61
2012-11-11 - 2012-11-17,59
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,56
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,54
2013-01-13 - 2013-01-19,54
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,60
2013-03-03 - 2013-03-09,54
2013-03-10 - 2013-03-16,60
2013-03-17 - 2013-03-23,56
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,61
2013-04-14 - 2013-04-20,55
2013-04-21 - 2013-04-27,60
2013-04-28 - 2013-05-04,58
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,56
2013-05-26 - 2013-06-01,57
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,52
2013-06-16 - 2013-06-22,51
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,48
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,51
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,52
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,56
2013-09-15 - 2013-09-21,60
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,54
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,56
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,58
2013-11-17 - 2013-11-23,70
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,60
2014-01-12 - 2014-01-18,63
2014-01-19 - 2014-01-25,57
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,64
2014-02-16 - 2014-02-22,61
