Month,alvorlig
2011-01,85
2011-02,93
2011-03,100
2011-04,93
2011-05,93
2011-06,93
2011-07,93
2011-08,88
2011-09,88
2011-10,88
2011-11,88
2011-12,88
2012-01,73
2012-02,67
2012-03,67
2012-04,67
2012-05,67
2012-06,68
2012-07,70
2012-08,72
2012-09,74
2012-10,75
2012-11,80
2012-12,63
2013-01,58
2013-02,63
2013-03,56
2013-04,68
2013-05,57
2013-06,66
2013-07,66
2013-08,66
2013-09,70
2013-10,58
2013-11,59
2013-12,57
2014-01,67
2014-02,72
2014-03,74
2014-04,61
2014-05,64
2014-06,63
2014-07,70
2014-08,58
2014-09,83
2014-10,86
2014-11,66
2014-12,91
2015-01,74
2015-02,64
2015-03,58
2015-04,77
2015-05,77
2015-06,67
2015-07,57
2015-08,62
2015-09,71
2015-10,86
2015-11,69
2015-12,50
2016-01,65
2016-02,87
