Web Search interest: doser
Denmark 2011-2015

Interest over time
Month,doser
2011-01,0
2011-02,0
2011-03,99
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,100
2011-12,90
2012-01,90
2012-02,90
2012-03,90
2012-04,90
2012-05,90
2012-06,90
2012-07,88
2012-08,88
2012-09,88
2012-10,70
2012-11,71
2012-12,72
2013-01,71
2013-02,71
2013-03,71
2013-04,71
2013-05,69
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,67
2014-06,70
2014-07,73
2014-08,76
2014-09,79
2014-10,83
2014-11,71
2014-12,71
2015-01,71
2015-02,68
2015-03,69
2015-04,69
2015-05,69
2015-06,69
2015-07,57
2015-08,57
2015-09,57
2015-10,57
2015-11,0
2015-12,0


Top subregions for doser
Subregion,doser
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for doser
City,doser
Copenhagen,100



Top searches for doser
i doser,100






