Web Search interest: human
Denmark 2011-2015

Interest over time
Week,human
2011-01-02 - 2011-01-08,68
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,66
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,62
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,57
2011-02-20 - 2011-02-26,65
2011-02-27 - 2011-03-05,65
2011-03-06 - 2011-03-12,58
2011-03-13 - 2011-03-19,53
2011-03-20 - 2011-03-26,63
2011-03-27 - 2011-04-02,67
2011-04-03 - 2011-04-09,61
2011-04-10 - 2011-04-16,57
2011-04-17 - 2011-04-23,51
2011-04-24 - 2011-04-30,72
2011-05-01 - 2011-05-07,65
2011-05-08 - 2011-05-14,64
2011-05-15 - 2011-05-21,58
2011-05-22 - 2011-05-28,64
2011-05-29 - 2011-06-04,57
2011-06-05 - 2011-06-11,96
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,58
2011-06-26 - 2011-07-02,53
2011-07-03 - 2011-07-09,56
2011-07-10 - 2011-07-16,47
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,54
2011-08-14 - 2011-08-20,54
2011-08-21 - 2011-08-27,90
2011-08-28 - 2011-09-03,100
2011-09-04 - 2011-09-10,86
2011-09-11 - 2011-09-17,72
2011-09-18 - 2011-09-24,65
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,66
2011-10-16 - 2011-10-22,66
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,69
2011-11-06 - 2011-11-12,68
2011-11-13 - 2011-11-19,66
2011-11-20 - 2011-11-26,64
2011-11-27 - 2011-12-03,76
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,63
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,45
2012-01-01 - 2012-01-07,61
2012-01-08 - 2012-01-14,55
2012-01-15 - 2012-01-21,62
2012-01-22 - 2012-01-28,61
2012-01-29 - 2012-02-04,58
2012-02-05 - 2012-02-11,61
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,62
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,64
2012-04-01 - 2012-04-07,55
2012-04-08 - 2012-04-14,66
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,63
2012-04-29 - 2012-05-05,52
2012-05-06 - 2012-05-12,66
2012-05-13 - 2012-05-19,56
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,52
2012-06-24 - 2012-06-30,45
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,51
2012-07-22 - 2012-07-28,49
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,55
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,58
2012-09-02 - 2012-09-08,62
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,57
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,55
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,61
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,64
2012-11-25 - 2012-12-01,54
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,49
2013-01-06 - 2013-01-12,57
2013-01-13 - 2013-01-19,53
2013-01-20 - 2013-01-26,55
2013-01-27 - 2013-02-02,57
2013-02-03 - 2013-02-09,60
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,61
2013-03-03 - 2013-03-09,55
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,60
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,57
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,58
2013-04-21 - 2013-04-27,61
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,60
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,57
2013-06-09 - 2013-06-15,53
2013-06-16 - 2013-06-22,52
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,49
2013-07-14 - 2013-07-20,51
2013-07-21 - 2013-07-27,49
2013-07-28 - 2013-08-03,49
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,53
2013-09-01 - 2013-09-07,57
2013-09-08 - 2013-09-14,58
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,58
2013-10-13 - 2013-10-19,59
2013-10-20 - 2013-10-26,59
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,71
2013-11-24 - 2013-11-30,64
2013-12-01 - 2013-12-07,60
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,42
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,63
2014-01-12 - 2014-01-18,66
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,59
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,69
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,62
2014-03-23 - 2014-03-29,62
2014-03-30 - 2014-04-05,65
2014-04-06 - 2014-04-12,62
2014-04-13 - 2014-04-19,54
2014-04-20 - 2014-04-26,67
2014-04-27 - 2014-05-03,71
2014-05-04 - 2014-05-10,61
2014-05-11 - 2014-05-17,68
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,66
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,60
2014-06-15 - 2014-06-21,55
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,53
2014-07-06 - 2014-07-12,55
2014-07-13 - 2014-07-19,56
2014-07-20 - 2014-07-26,60
2014-07-27 - 2014-08-02,59
2014-08-03 - 2014-08-09,60
2014-08-10 - 2014-08-16,56
2014-08-17 - 2014-08-23,60
2014-08-24 - 2014-08-30,58
2014-08-31 - 2014-09-06,59
2014-09-07 - 2014-09-13,56
2014-09-14 - 2014-09-20,57
2014-09-21 - 2014-09-27,53
2014-09-28 - 2014-10-04,60
2014-10-05 - 2014-10-11,59
2014-10-12 - 2014-10-18,53
2014-10-19 - 2014-10-25,62
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,66
2014-11-09 - 2014-11-15,62
2014-11-16 - 2014-11-22,66
2014-11-23 - 2014-11-29,61
2014-11-30 - 2014-12-06,60
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,51
2014-12-21 - 2014-12-27,45
2014-12-28 - 2015-01-03,48
2015-01-04 - 2015-01-10,55
2015-01-11 - 2015-01-17,64
2015-01-18 - 2015-01-24,62
2015-01-25 - 2015-01-31,61
2015-02-01 - 2015-02-07,63
2015-02-08 - 2015-02-14,59
2015-02-15 - 2015-02-21,66
2015-02-22 - 2015-02-28,56
2015-03-01 - 2015-03-07,57
2015-03-08 - 2015-03-14,60
2015-03-15 - 2015-03-21,56
2015-03-22 - 2015-03-28,60
2015-03-29 - 2015-04-04,48
2015-04-05 - 2015-04-11,63
2015-04-12 - 2015-04-18,65
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,62
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,65
2015-05-17 - 2015-05-23,65
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,67
2015-06-07 - 2015-06-13,62
2015-06-14 - 2015-06-20,56
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,50
2015-07-12 - 2015-07-18,45
2015-07-19 - 2015-07-25,50
2015-07-26 - 2015-08-01,57
2015-08-02 - 2015-08-08,52
2015-08-09 - 2015-08-15,56
2015-08-16 - 2015-08-22,50
2015-08-23 - 2015-08-29,57
2015-08-30 - 2015-09-05,64
2015-09-06 - 2015-09-12,64
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,57
2015-09-27 - 2015-10-03,60
2015-10-04 - 2015-10-10,59
2015-10-11 - 2015-10-17,54
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,65
2015-11-01 - 2015-11-07,57
2015-11-08 - 2015-11-14,59
2015-11-15 - 2015-11-21,61
2015-11-22 - 2015-11-28,59
2015-11-29 - 2015-12-05,57
2015-12-06 - 2015-12-12,62
2015-12-13 - 2015-12-19,61
2015-12-20 - 2015-12-26,49
2015-12-27 - 2016-01-02,45


Top subregions for human
Subregion,human
Capital Region of Denmark,100
North Denmark Region,78
Central Denmark Region,75
Syddanmark,70
Region Zealand,69


Top cities for human
City,human
Bagsværd,100
Hellerup,45
Lyngby,41
Søborg,41
Horsholm,40
Gentofte,39
Birkerød,36
Rodovre,33
Herlev,33
Frederiksberg,32
Ballerup,32
Samsø,32
Glostrup,31
Helsingor,30
Skanderborg,30



Top searches for human
human rights,100
centipede,70
human centipede,70
human body,40
the human centipede,40
human revolution,35
human resources,35
being human,35
deus ex,30
human resource,30
human lyrics,20
human development,20
the human body,15
almost human,15
human centipede 2,15
human trafficking,15
human nature,15
human capital,15
human resource management,15
human anatomy,10
human barbie,10
human ernæring,10
human brain,10
human right,10
human race,10
human rights watch,10
human evolution,10
human league,10
are we human,10
un human rights,10
human target,10
human eye,10
human heart,10
human genome,5
human care,5
human centipede 3,5
human development index,5
human design,5
human traffic,5
menneskerettigheder,5
compass human resources,5
compass group,5
killers human,5
human planet,5
the human race,5
human security,5
human factors,5
human speed,5
the killers,5
human nutrition,5



Rising searches for human
almost human,Breakout
deus ex,Breakout
human barbie,Breakout
human centipede 2,Breakout
human revolution,+1,200%
centipede,+350%
human centipede,+350%
the human centipede,+250%
being human,+140%
human body,+50%



