Web Search interest: januar
Denmark 2011-2015

Interest over time
Week,januar
2011-01-02 - 2011-01-08,66
2011-01-09 - 2011-01-15,53
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,45
2011-01-30 - 2011-02-05,18
2011-02-06 - 2011-02-12,9
2011-02-13 - 2011-02-19,6
2011-02-20 - 2011-02-26,5
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,4
2011-03-13 - 2011-03-19,5
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,4
2011-04-17 - 2011-04-23,3
2011-04-24 - 2011-04-30,4
2011-05-01 - 2011-05-07,3
2011-05-08 - 2011-05-14,3
2011-05-15 - 2011-05-21,4
2011-05-22 - 2011-05-28,3
2011-05-29 - 2011-06-04,4
2011-06-05 - 2011-06-11,4
2011-06-12 - 2011-06-18,3
2011-06-19 - 2011-06-25,3
2011-06-26 - 2011-07-02,3
2011-07-03 - 2011-07-09,3
2011-07-10 - 2011-07-16,3
2011-07-17 - 2011-07-23,3
2011-07-24 - 2011-07-30,4
2011-07-31 - 2011-08-06,5
2011-08-07 - 2011-08-13,3
2011-08-14 - 2011-08-20,5
2011-08-21 - 2011-08-27,5
2011-08-28 - 2011-09-03,4
2011-09-04 - 2011-09-10,5
2011-09-11 - 2011-09-17,6
2011-09-18 - 2011-09-24,6
2011-09-25 - 2011-10-01,6
2011-10-02 - 2011-10-08,8
2011-10-09 - 2011-10-15,8
2011-10-16 - 2011-10-22,8
2011-10-23 - 2011-10-29,9
2011-10-30 - 2011-11-05,10
2011-11-06 - 2011-11-12,11
2011-11-13 - 2011-11-19,13
2011-11-20 - 2011-11-26,13
2011-11-27 - 2011-12-03,13
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,18
2011-12-18 - 2011-12-24,24
2011-12-25 - 2011-12-31,44
2012-01-01 - 2012-01-07,79
2012-01-08 - 2012-01-14,64
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,23
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,8
2012-02-19 - 2012-02-25,5
2012-02-26 - 2012-03-03,5
2012-03-04 - 2012-03-10,4
2012-03-11 - 2012-03-17,4
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,3
2012-04-08 - 2012-04-14,3
2012-04-15 - 2012-04-21,4
2012-04-22 - 2012-04-28,4
2012-04-29 - 2012-05-05,3
2012-05-06 - 2012-05-12,4
