Web Search interest: langvarig
Denmark 2011-2015

Interest over time
Month,langvarig
2011-01,72
2011-02,75
2011-03,78
2011-04,81
2011-05,75
2011-06,75
2011-07,75
2011-08,75
2011-09,76
2011-10,77
2011-11,70
2011-12,100
2012-01,57
2012-02,67
2012-03,70
2012-04,72
2012-05,71
2012-06,74
2012-07,80
2012-08,86
2012-09,65
2012-10,56
2012-11,65
2012-12,66
2013-01,73
2013-02,85
2013-03,79
2013-04,64
2013-05,61
2013-06,53
2013-07,63
2013-08,74
2013-09,57
2013-10,88
2013-11,71
2013-12,73
2014-01,71
2014-02,61
2014-03,76
2014-04,69
2014-05,63
2014-06,78
2014-07,71
2014-08,60
2014-09,77
2014-10,79
2014-11,82
2014-12,100
2015-01,86
2015-02,82
2015-03,83
2015-04,81
2015-05,70
2015-06,73
2015-07,70
2015-08,79
2015-09,59
2015-10,68
2015-11,85
2015-12,85


Top subregions for langvarig
Subregion,langvarig
Capital Region of Denmark,100
Central Denmark Region,99
Syddanmark,93
North Denmark Region,0
Region Zealand,0


Top cities for langvarig
City,langvarig
Copenhagen,100



Top searches for langvarig
langvarig hoste,100






