Web Search interest: mere
Denmark 2011-2015

Interest over time
Week,mere
2011-01-02 - 2011-01-08,48
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,54
2011-01-23 - 2011-01-29,56
2011-01-30 - 2011-02-05,48
2011-02-06 - 2011-02-12,46
2011-02-13 - 2011-02-19,44
2011-02-20 - 2011-02-26,42
2011-02-27 - 2011-03-05,46
2011-03-06 - 2011-03-12,49
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,49
2011-03-27 - 2011-04-02,48
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,45
2011-04-17 - 2011-04-23,40
2011-04-24 - 2011-04-30,44
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,41
2011-05-29 - 2011-06-04,41
2011-06-05 - 2011-06-11,44
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,43
2011-06-26 - 2011-07-02,40
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,36
2011-07-17 - 2011-07-23,39
2011-07-24 - 2011-07-30,39
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,41
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,55
2011-09-18 - 2011-09-24,49
2011-09-25 - 2011-10-01,53
2011-10-02 - 2011-10-08,52
2011-10-09 - 2011-10-15,53
2011-10-16 - 2011-10-22,49
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,51
2011-11-06 - 2011-11-12,59
2011-11-13 - 2011-11-19,52
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,52
2011-12-04 - 2011-12-10,53
2011-12-11 - 2011-12-17,51
2011-12-18 - 2011-12-24,50
2011-12-25 - 2011-12-31,48
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,48
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,47
2012-01-29 - 2012-02-04,43
2012-02-05 - 2012-02-11,47
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,43
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,49
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,53
2012-03-25 - 2012-03-31,50
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,43
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,42
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,48
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,43
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,45
2012-07-29 - 2012-08-04,46
2012-08-05 - 2012-08-11,44
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,52
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,59
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,60
2012-10-07 - 2012-10-13,60
2012-10-14 - 2012-10-20,57
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,63
2012-11-11 - 2012-11-17,62
2012-11-18 - 2012-11-24,66
2012-11-25 - 2012-12-01,63
2012-12-02 - 2012-12-08,57
2012-12-09 - 2012-12-15,63
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,54
2012-12-30 - 2013-01-05,56
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,57
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,68
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,57
2013-03-03 - 2013-03-09,56
2013-03-10 - 2013-03-16,54
2013-03-17 - 2013-03-23,68
2013-03-24 - 2013-03-30,58
2013-03-31 - 2013-04-06,53
2013-04-07 - 2013-04-13,62
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,53
2013-04-28 - 2013-05-04,51
2013-05-05 - 2013-05-11,53
2013-05-12 - 2013-05-18,52
2013-05-19 - 2013-05-25,53
2013-05-26 - 2013-06-01,54
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,50
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,100
2013-07-07 - 2013-07-13,66
2013-07-14 - 2013-07-20,57
2013-07-21 - 2013-07-27,56
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,50
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,55
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,55
2013-09-22 - 2013-09-28,61
2013-09-29 - 2013-10-05,57
2013-10-06 - 2013-10-12,63
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,54
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,60
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,52
2013-12-08 - 2013-12-14,58
2013-12-15 - 2013-12-21,60
2013-12-22 - 2013-12-28,49
2013-12-29 - 2014-01-04,53
2014-01-05 - 2014-01-11,59
2014-01-12 - 2014-01-18,67
2014-01-19 - 2014-01-25,61
2014-01-26 - 2014-02-01,55
2014-02-02 - 2014-02-08,59
2014-02-09 - 2014-02-15,54
2014-02-16 - 2014-02-22,57
2014-02-23 - 2014-03-01,60
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,58
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,58
2014-03-30 - 2014-04-05,55
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,52
2014-04-27 - 2014-05-03,54
2014-05-04 - 2014-05-10,61
2014-05-11 - 2014-05-17,54
2014-05-18 - 2014-05-24,62
2014-05-25 - 2014-05-31,57
2014-06-01 - 2014-06-07,56
2014-06-08 - 2014-06-14,51
2014-06-15 - 2014-06-21,54
2014-06-22 - 2014-06-28,51
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,47
2014-07-13 - 2014-07-19,42
2014-07-20 - 2014-07-26,51
2014-07-27 - 2014-08-02,43
2014-08-03 - 2014-08-09,53
2014-08-10 - 2014-08-16,50
2014-08-17 - 2014-08-23,53
2014-08-24 - 2014-08-30,55
2014-08-31 - 2014-09-06,53
2014-09-07 - 2014-09-13,58
2014-09-14 - 2014-09-20,56
2014-09-21 - 2014-09-27,58
2014-09-28 - 2014-10-04,61
2014-10-05 - 2014-10-11,57
2014-10-12 - 2014-10-18,56
