Web Search interest: doser
Denmark 2011-2015

Interest over time
Month,doser
2011-01,0
2011-02,0
2011-03,98
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,100
2011-11,91
2011-12,91
2012-01,92
2012-02,93
2012-03,85
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,74
2012-10,74
2012-11,74
2012-12,74
2013-01,62
2013-02,62
2013-03,62
2013-04,62
2013-05,62
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,71
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,69
2014-11,75
2014-12,80
2015-01,86
2015-02,67
2015-03,65
2015-04,59
2015-05,56
2015-06,56
2015-07,56
2015-08,56
2015-09,56
2015-10,61
2015-11,66
2015-12,70


Top subregions for doser
Subregion,doser
Capital Region of Denmark,100
North Denmark Region,0
Central Denmark Region,0
Syddanmark,0
Region Zealand,0


Top cities for doser
City,doser
Copenhagen,100



Top searches for doser
i doser,100






