Web Search interest: langvarig
Denmark 2011-2015

Interest over time
Month,langvarig
2011-01,85
2011-02,90
2011-03,95
2011-04,100
2011-05,71
2011-06,71
2011-07,71
2011-08,71
2011-09,64
2011-10,64
2011-11,58
2011-12,62
2012-01,65
2012-02,68
2012-03,63
2012-04,63
2012-05,70
2012-06,53
2012-07,59
2012-08,64
2012-09,62
2012-10,50
2012-11,60
2012-12,55
2013-01,54
2013-02,55
2013-03,61
2013-04,54
2013-05,59
2013-06,59
2013-07,54
2013-08,54
2013-09,48
2013-10,57
2013-11,59
2013-12,68
2014-01,65
2014-02,68
2014-03,68
2014-04,59
2014-05,69
2014-06,58
2014-07,66
2014-08,47
2014-09,76
2014-10,75
2014-11,74
2014-12,86
2015-01,71
2015-02,80
2015-03,85
2015-04,65
2015-05,56
2015-06,57
2015-07,69
2015-08,93
2015-09,62
2015-10,55
2015-11,70
2015-12,63


Top subregions for langvarig
Subregion,langvarig
Capital Region of Denmark,100
Central Denmark Region,97
Syddanmark,95
North Denmark Region,0
Region Zealand,0


Top cities for langvarig
City,langvarig
Copenhagen,100



Top searches for langvarig
langvarig hoste,100



Rising searches for langvarig
langvarig hoste,Breakout



