Web Search interest: tilbud
Denmark 2011-2015

Interest over time
Week,tilbud
2011-01-02 - 2011-01-08,43
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,37
2011-01-23 - 2011-01-29,35
2011-01-30 - 2011-02-05,34
2011-02-06 - 2011-02-12,34
2011-02-13 - 2011-02-19,35
2011-02-20 - 2011-02-26,34
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,35
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,35
2011-04-17 - 2011-04-23,41
2011-04-24 - 2011-04-30,37
2011-05-01 - 2011-05-07,35
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,37
2011-05-29 - 2011-06-04,39
2011-06-05 - 2011-06-11,36
2011-06-12 - 2011-06-18,39
2011-06-19 - 2011-06-25,39
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,45
2011-07-10 - 2011-07-16,45
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,49
2011-07-31 - 2011-08-06,46
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,42
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,38
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,35
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,37
2011-10-16 - 2011-10-22,40
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,37
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,41
2011-11-20 - 2011-11-26,39
2011-11-27 - 2011-12-03,43
2011-12-04 - 2011-12-10,48
2011-12-11 - 2011-12-17,45
2011-12-18 - 2011-12-24,39
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,47
2012-01-08 - 2012-01-14,40
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,36
2012-01-29 - 2012-02-04,38
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,35
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,38
2012-03-11 - 2012-03-17,40
2012-03-18 - 2012-03-24,42
2012-03-25 - 2012-03-31,43
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,42
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,45
2012-04-29 - 2012-05-05,46
2012-05-06 - 2012-05-12,43
2012-05-13 - 2012-05-19,43
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,41
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,49
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,53
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,46
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,45
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,41
2012-11-04 - 2012-11-10,43
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,52
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,62
2012-12-30 - 2013-01-05,58
2013-01-06 - 2013-01-12,48
2013-01-13 - 2013-01-19,47
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,40
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,42
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,47
2013-04-07 - 2013-04-13,44
2013-04-14 - 2013-04-20,46
2013-04-21 - 2013-04-27,47
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,46
2013-05-19 - 2013-05-25,49
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,48
2013-06-16 - 2013-06-22,50
2013-06-23 - 2013-06-29,51
2013-06-30 - 2013-07-06,55
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,58
2013-07-21 - 2013-07-27,56
2013-07-28 - 2013-08-03,59
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,48
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,47
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,51
2013-10-06 - 2013-10-12,50
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,48
2013-10-27 - 2013-11-02,50
2013-11-03 - 2013-11-09,54
2013-11-10 - 2013-11-16,50
2013-11-17 - 2013-11-23,50
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,67
2013-12-29 - 2014-01-04,71
2014-01-05 - 2014-01-11,60
2014-01-12 - 2014-01-18,54
2014-01-19 - 2014-01-25,54
2014-01-26 - 2014-02-01,52
2014-02-02 - 2014-02-08,53
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,53
2014-02-23 - 2014-03-01,54
2014-03-02 - 2014-03-08,55
2014-03-09 - 2014-03-15,56
2014-03-16 - 2014-03-22,55
2014-03-23 - 2014-03-29,54
2014-03-30 - 2014-04-05,57
2014-04-06 - 2014-04-12,56
2014-04-13 - 2014-04-19,63
2014-04-20 - 2014-04-26,56
2014-04-27 - 2014-05-03,59
2014-05-04 - 2014-05-10,55
2014-05-11 - 2014-05-17,52
2014-05-18 - 2014-05-24,53
2014-05-25 - 2014-05-31,59
2014-06-01 - 2014-06-07,57
2014-06-08 - 2014-06-14,57
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,65
2014-07-06 - 2014-07-12,65
2014-07-13 - 2014-07-19,68
2014-07-20 - 2014-07-26,66
2014-07-27 - 2014-08-02,65
2014-08-03 - 2014-08-09,63
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,57
2014-08-24 - 2014-08-30,54
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,51
2014-09-21 - 2014-09-27,52
2014-09-28 - 2014-10-04,54
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,60
2014-10-19 - 2014-10-25,55
2014-10-26 - 2014-11-01,59
2014-11-02 - 2014-11-08,59
2014-11-09 - 2014-11-15,61
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,77
2014-11-30 - 2014-12-06,72
2014-12-07 - 2014-12-13,75
2014-12-14 - 2014-12-20,71
2014-12-21 - 2014-12-27,72
2014-12-28 - 2015-01-03,88
2015-01-04 - 2015-01-10,66
2015-01-11 - 2015-01-17,59
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,52
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,50
2015-02-22 - 2015-02-28,51
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,55
2015-03-15 - 2015-03-21,55
2015-03-22 - 2015-03-28,55
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,61
2015-04-19 - 2015-04-25,63
2015-04-26 - 2015-05-02,62
2015-05-03 - 2015-05-09,59
2015-05-10 - 2015-05-16,59
2015-05-17 - 2015-05-23,57
2015-05-24 - 2015-05-30,59
2015-05-31 - 2015-06-06,57
2015-06-07 - 2015-06-13,56
2015-06-14 - 2015-06-20,52
2015-06-21 - 2015-06-27,57
2015-06-28 - 2015-07-04,63
2015-07-05 - 2015-07-11,62
2015-07-12 - 2015-07-18,65
2015-07-19 - 2015-07-25,66
2015-07-26 - 2015-08-01,69
2015-08-02 - 2015-08-08,64
2015-08-09 - 2015-08-15,60
2015-08-16 - 2015-08-22,60
2015-08-23 - 2015-08-29,58
2015-08-30 - 2015-09-05,60
2015-09-06 - 2015-09-12,58
2015-09-13 - 2015-09-19,58
2015-09-20 - 2015-09-26,61
2015-09-27 - 2015-10-03,63
2015-10-04 - 2015-10-10,64
2015-10-11 - 2015-10-17,70
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,60
2015-11-01 - 2015-11-07,62
2015-11-08 - 2015-11-14,61
2015-11-15 - 2015-11-21,63
2015-11-22 - 2015-11-28,89
2015-11-29 - 2015-12-05,74
2015-12-06 - 2015-12-12,75
2015-12-13 - 2015-12-19,79
2015-12-20 - 2015-12-26,73
2015-12-27 - 2016-01-02,100


Top subregions for tilbud
Subregion,tilbud
North Denmark Region,100
Capital Region of Denmark,100
Region Zealand,100
Central Denmark Region,99
Syddanmark,99


Top cities for tilbud
City,tilbud
Taastrup,100
Frederikssund,97
Kalundborg,95
Greve Strand,94
Odder,90
Skanderborg,86
Juelsminde,83
Frederikshavn,83
Thisted,83
Kastrup,83
Horsholm,83
Rodovre,80
Ringsted,80
Birkerød,80
Helsingor,77



Top searches for tilbud
bilka tilbud,100
bilka,100
føtex,90
føtex tilbud,90
tilbudsavis,75
netto tilbud,70
netto,70
elgiganten,50
fakta,50
fakta tilbud,50
kvickly,45
kvickly tilbud,45
cykler,40
rema tilbud,40
cykler tilbud,35
mine tilbud,35
tilbud online,30
rema 1000 tilbud,30
rema 1000,30
cykel tilbud,25
ipad tilbud,25
pricerunner,25
superbrugsen tilbud,25
superbrugsen,25
lego tilbud,25
matas,25
silvan,25
matas tilbud,25
imerco tilbud,20
weekendophold,20
imerco,20
weekendophold tilbud,20
ugens tilbud,20
bauhaus,20
aldi,20
aldi tilbud,20
lidl,20
lidl tilbud,20
superbest tilbud,20
superbest,20
netto tilbudsavis,20
jem og fix,20
irma tilbud,20
irma,15
øl tilbud,15
brugsen tilbud,15
føtex tilbudsavis,15
tilbud i byen,15
magasin,15
kop og kande,15



Rising searches for tilbud
mine tilbud,+1,500%
ipad tilbud,+1,400%
rema 1000 tilbud,+300%
fakta,+250%
rema 1000,+250%
rema tilbud,+250%
fakta tilbud,+200%
pricerunner,+180%
netto,+110%
netto tilbud,+110%



